"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 01 07:08:42 UTC 2024","Thu Aug 01 07:08:45 UTC 2024","2447","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Aug 01 06:29:52 UTC 2024","Thu Aug 01 06:30:06 UTC 2024","14779","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Aug 01 07:08:26 UTC 2024","Thu Aug 01 07:08:36 UTC 2024","10389","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Aug 01 07:24:24 UTC 2024","Thu Aug 01 07:24:26 UTC 2024","2462","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"failed","Thu Aug 01 06:26:01 UTC 2024","Thu Aug 01 06:27:58 UTC 2024","117227","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Aug 01 06:26:00 UTC 2024","Thu Aug 01 06:26:01 UTC 2024","195","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Aug 01 07:08:39 UTC 2024","Thu Aug 01 07:08:42 UTC 2024","3060","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Aug 01 07:17:08 UTC 2024","Thu Aug 01 07:17:22 UTC 2024","13739","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Thu Aug 01 06:17:58 UTC 2024","Thu Aug 01 06:17:58 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Thu Aug 01 06:48:27 UTC 2024","Thu Aug 01 06:48:27 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Aug 01 06:30:08 UTC 2024","Thu Aug 01 06:30:13 UTC 2024","4950","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Thu Aug 01 08:56:22 UTC 2024","Thu Aug 01 08:56:22 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Aug 01 07:08:50 UTC 2024","Thu Aug 01 07:09:00 UTC 2024","10221","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Aug 01 07:23:59 UTC 2024","Thu Aug 01 07:24:14 UTC 2024","14843","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Aug 01 07:24:14 UTC 2024","Thu Aug 01 07:24:24 UTC 2024","9677","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Thu Aug 01 06:17:58 UTC 2024","Thu Aug 01 06:17:58 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Thu Aug 01 06:17:58 UTC 2024","Thu Aug 01 06:17:58 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
